English,Chinese
lieutenant,中尉
begins,开始
chosen,选择
fully,完全
toronto,多伦多
pakistan,巴基斯坦
squad,队
literary,文学
interview,面试
atlantic,大西洋
animals,动物
cells,细胞
inc,公司
generation,一代
boys,男孩们
figures,数字
situation,情况
del,del
couple,夫妻
existing,现存的
confirmed,确认的
category,类别
conservative,保守的
challenge,挑战
defined,定义
armed,武装
legislative,立法
brazil,巴西
convention,习俗
relatively,相对地
falls,下降
bronze,青铜
volume,体积
injury,受伤
classical,古典
examples,例子
educational,教育学位
billion,十亿
bring,带来
reason,原因
visit,访问
korea,朝鲜
read,读
marked,标记为
religion,宗教
classic,经典的
supply,供应
allowing,允许
acts,行为
labor,劳工
combat,战斗
break,休息
say,说
faculty,学院
look,看
oldest,最老的
vice,副
transfer,转移
frequently,频繁地
methods,方法
towns,城市
agent,代理人
memory,记忆
properties,特性
entitled,题为
orchestra,乐队
reference,参考
settled,sett
steel,钢
bought,买
fans,粉丝
articles,文章
netherlands,荷兰
etc,等等
founding,成立
gallery,画廊
programme,程序
simple,简单的
unable,无法
sides,sides
holds,拥有
portion,部分
ocean,海洋
gun,枪
northwest,西北
mike,麦克风
unknown,未知
battalion,营
claim,宣称
sexual,sexual
audience,观众
refused,拒绝
trust,相信
starring,主演
necessary,必要的
billboard,广告牌
permanent,永恒的
secret,秘密
search,搜索
aired,播出
surname,姓
creating,创造
presidential,总统
guest,客人
peak,顶峰
korean,韩国人
nuclear,核
normal,普通的
retirement,退休
transportation,运输
southeast,东南
exhibition,展览
worldwide,全世界
bc,公元前
institutions,机构
citizens,公民
ultimately,最终
expansion,扩张
conflict,冲突
rank,秩
personnel,人员
risk,风险
application,应用
effective,有效的
covers,盖子
vehicles,车辆
powers,权力
arrested,被捕
storm,风暴
crown,王冠
attempts,尝试
unlike,不像
interior,内部的
ring,戒指
com,com
supporting,支持
partner,伙伴
stock,股票
trees,树木
broke,br
federation,联邦
cd,光盘
kind,种类
extensive,广泛的
holy,圣
oxford,牛津
flying,飞行
want,想
philosophy,哲学
brand,牌
poetry,诗歌
soccer,足球
choice,选择
metres,米
sense,感觉
intelligence,智力
graduate,毕业
alliance,联盟
chris,克里斯
miss,错过
fought,奋斗
documentary,记录
yellow,黄色
perform,履行
entry,入口
copies,副本
phase,阶段
fund,基金
recognition,认出
sets,套
maximum,最大值
hands,hands
commissioned,委托
communist,共产
agricultural,农业
drug,药品
employed,雇用
occupied,占据
standards,标准
jackson,杰克逊
sign,标志
visited,访问了
attempted,尝试
sector,行业
piece,片
people's,人们
sweden,瑞典
offices,办公室
provincial,省级
defence,防御
prevent,防止
rise,上升
internal,内部的
domestic,国内的
receiving,接收
approved,得到正式认可的
edge,边缘
actions,行动
fox,狐狸
dropped,掉下来
needs,需要
powerful,强大的
lot,很多
attacked,遭到攻击
consisted,组成
adult,成人
lyrics,歌词
opposed,反对
sex,性别
children's,孩子们的
factory,工厂
holding,保持
hills,丘陵
tropical,热带
ways,方法
setting,环境
matter,事情
increasing,越来越多
shared,共享
applications,应用程序
guns,枪支
broadcasting,广播
bowl,碗
treaty,条约
vehicle,车辆
bad,坏的
investigation,调查
steve,史蒂夫
quarter,四分之一
someone,某人
greatest,最伟大的
northeast,东北
sunday,星期日
launch,发射
wilson,威尔逊
beat,打
fiction,小说
locations,地点
incorporated,incorporated.
establishment,建立
specifically,具体来说
studios,一室公寓
stay,停留
walls,墙壁
converted,转换了
weekly,每周
programming,编程
functions,职能
ending,结尾
daniel,丹尼尔
animal,动物
arthur,亚瑟
bob,鲍勃
reasons,原因
architect,建筑师
francis,弗朗西斯
criminal,刑事
jim,吉姆
structures,结构
metropolitan,大都会
identity,身份
meant,意思
constituency,选项
bureau,局
condition,健康）状况
churches,教堂
communications,通讯
developing,发展
represent,代表
determined,决定
contributed,贡献
representing,代表
bands,乐队
onto,到
pope,教皇
existence,存在
roads,道路
pieces,件
let,让
speech,演讲
funds,资金
contact,接触
km²,KM².
slightly,轻微地
cape,岬
centuries,几个世纪
begin,开始
question,题
mobile,移动的
wild,荒野
refers,引用
derived,衍生的
aid,援助
express,表达
mill,磨
bass,低音
contest,比赛
ends,结束
qualified,合格的
enemy,敌人
taylor,泰勒
containing,包含
connection,联系
wrestling,摔角
canal,运河
andrew,安德鲁
publishing,出版
focused,专注
wins,赢
athletic,运动
occurs,发生
pilot,飞行员
rare,稀有的
weight,重量
maria,玛丽亚
corner,角落
regarding,关于
glass,玻璃
pair,一对
circuit,电路
doing,正在做
influenced,影响
co,CO.
composition,作品
publications,出版物
invited,邀请
boat,船
write,写
weapons,武器
core,核
writers,作家
faced,面对
electronic,电子的
think,思考
believe,相信
successfully,成功地
engineer,工程师
davis,戴维斯
abandoned,弃
kansas,堪萨斯州
stand,站立
entrance,入口
minnesota,明尼苏达州
why,为什么
educated,教育
wind,风
escape,逃脱
display,展示
mexican,墨西哥人
candidates,候选人
passing,通过
twelve,十二
southwest,西南
count,数数
heat,热
height,高度
birds,鸟类
norwegian,挪威
finishing,精加工
passenger,乘客
target,目标
finds,发现
serious,严肃的
scheduled,预定
proved,证实
americans,美国人
rear,后部
aged,岁
page,页
survey,民意调查
chapel,教堂
cathedral,大教堂
nothing,没有
views,意见
lands,土地
kill,杀
band's,乐队
scale,规模
standing,常设
reform,改革
toward,朝着
sought,寻求
importance,重要性
artillery,炮兵
dynasty,王朝
sr,SR.
selection,选择
quite,相当
composer,作曲家
tennis,网球
carry,携带
agriculture,农业
violence,暴力
temperature,温度
moscow,莫斯科
failure,失败
nfl,NFL.
orders,订单
herself,自己
external,外部的
finals,决赛
melbourne,墨尔本
cambridge,剑桥
contained,含有
occur,发生
piano,钢琴
communication,沟通
ceremony,仪式
heavily,heav
manchester,曼彻斯特
jews,犹太人
missouri,密苏里州
christmas,圣诞节
heard,听到
decades,几十年
straight,直的
card,卡片
institution,机构
journalist,记者
homes,家庭
loan,贷款
muslim,穆斯林
hundred,百
expressed,表达
ideas,思想
introduction,介绍
trying,试
incident,事件
et,ET.
bell,钟
really,真的
inhabitants,居民
reaching,到达
maintained,保持
signal,信号
producing,生产
invasion,侵犯
resistance,反抗
sale,销售
advance,进步
ncaa,NCAA
fuel,燃料
poet,诗人
rich,富有的
opportunity,机会
conservation,保护
shape,形状
indiana,印第安纳州
chemical,化学
patients,耐心
fashion,时尚
investment,投资
sri,斯里
courses,培训班
registered,挂号的
protect,保护
norway,挪威
mind,头脑
roof,屋顶
cold,寒冷的
exist,存在
philippines,菲律宾
hits,击球
motor,马达
motion,运动
consecutive,连续的
follow,跟随
vietnam,越南
colonial,殖民
budget,预算
calls,呼叫
merged,合并
colonel,上校
passes,通过
stephen,斯蒂芬
comic,漫画
laid,奠定
promote,推动
perhaps,也许
historian,历史学家
extension,延期
lewis,刘易斯
broken,破碎的
partnership,合伙
tony,托尼
engaged,已订婚的
tennessee,田纳西州
chamber,chamber
avoid,避免
closely,密切
distinguished,尊敬
typical,典型的
skills,技能
mine,矿
users,用户
screen,屏幕
harry,哈利
dates,日期
causes,原因
residence,住宅
voted,投票
des,DES.
earl,伯爵
hired,雇用
portuguese,葡萄牙语
colorado,科罗拉多州
collected,集
scenes,场景
consisting,组成
employees,雇员
turkey,火鸡
banks,银行
entirely,完全
trail,踪迹
singing,唱歌
joining,加入
downtown,市中心
resigned,辞职
streets,街道
negative,消极的
trained,训练有素
engines,引擎
visual,视觉的
starts,开始
dvd,DVD
junction,交界处
notably,尤其
ad,广告
improved,改善
universities,大学
try,尝试
flow,流动
gene,基因
weather,天气
enter,进入
improve,提升
world's,世界
regarded,被认为是
values,价值
installed,安装了
argued,争辩
getting,得到
details,细节
picture,图片
ford,福特
queensland,昆士兰州
habitat,栖息地
statement,陈述
equal,平等的
observed,观察到的
maryland,马里兰州
establish,建立
ward,ward
bodies,身体
fair,公平的
task,任务
athletics,竞技
stating,陈述
paintings,绘画
stores,店
techniques,技术
web,网页
neighborhood,邻里
attorney,律师
killing,杀戮
oregon,俄勒冈州
city's,城市
chair,椅子
seventh,第七
flag,旗帜
additionally,此外
don,大学教师
eye,眼睛
mining,矿业
arizona,亚利桑那
costs,成本
teachers,老师
compete,竞争
strength,力量
organisation,组织
adjacent,邻近的
spot,点
evening,晚上
amateur,业余
hope,希望
parliamentary,议会
crisis,危机
winners,赢家
sections,章节
dam,坝
albert,阿尔伯特
turkish,土耳其
spirit,精神
interests,兴趣
address,地址
die,死
khan,汗
looking,看着
causing,造成
coal,煤炭
humans,人类
switzerland,瑞士
links,链接
describes,描述
chapter,章节
anniversary,周年纪念日
wisconsin,威斯康星州
seconds,秒
walter,沃尔特
productions,制作
briefly,简要地
objects,对象
vocals,声乐
grounds,理由
controlled,受控
cabinet,内阁
formula,公式
musicians,音乐家
easily,容易地
operate,操作
ruled,统治
arena,竞技场
driver,司机
directors,董事
foot,脚
courts,法院
divisions,划分
membership,会员资格
protein,蛋白质
rivers,河流
session,会议
borough,自治市镇
talk,讲话
seems,似乎
distributed,分散式
du,杜
calling,打电话
goods,商品
purchase,购买
ahead,先
electoral,选举
chance,机会
wars,战争
duty,责任
ethnic,种族的
gain,获得
chose,选择
combination,组合
expedition,远征
legacy,遗产
ben,班
concluded,结论
earliest,最早
formal,正式的
controversy,争议
didn't,没有
residential,住宅
di,迪
reduce,降低
reality,现实
survived,幸免于
singapore,新加坡
egypt,埃及
statistics,统计数据
participate,参加
credit,信用
chain,链
reaction,反应
affected,做作的
counties,县
kentucky,肯塔基州
businesses,企业
routes,路线
stands,站立
designs,设计
actual,实际的
regularly,经常
discovery,发现
miller,磨坊主
persons,person
criticism,批评
images,图片
poverty,贫困
hour,小时
islamic,伊斯兰教
iv,IV.
commune,公社
factor,因素
decade,十年
strike,罢工
dean,院长
commonwealth,联邦
folk,民间
operates,操作
contain,包含
rooms,房间
cycle,循环
degrees,程度
brief,简短的
prix,pr
coastal,沿海
howard,霍华德
outstanding,杰出的
link,关联
austria,奥地利
leads,领导者
fm,调频
brian,布莱恩
trophy,杯
emergency,紧急情况
racial,种族馆
plus,加
bottom,底部
finance,金融
pro,pro
reign,统治
ones,那些
diego,迭戈
scholars,学者
items,项目
selling,卖
shooting,射击
accused,被告
progress,进步
capture,捕获
device,设备
pictures,图片
demand,要求
row,排
injured,受伤
greece,希腊
gets,得到
shop,店铺
meanwhile,同时
opposite,对面的
dry,干燥
underground,地下
contributions,贡献
apart,除了
appeal,上诉
crossing,横渡
musician,音乐家
assistance,帮助
moth,蛾
factors,因素
debuted,首次亮相
charges,收费
soundtrack,原声带
swiss,瑞士人
rating,评分
universal,普遍的
charts,图表
orange,橘子
owners,拥有者
painted,绘
driving,驾驶
sam,萨姆
behavior,行为
associate,联系
faith,信仰
praised,赞美
elementary,初级
stages,阶段
thousands,成千上万
maintain,维持
medieval,中世纪
understanding,理解
ltd,有限公司
premiered,首先
manufacturing,制造业
demographics,人口统计学
passengers,乘客
attached,随附的
advantage,优势
attend,参加
landing,降落
drawn,画
request,要求
scheme,方案
houston,休斯顿
documents,文件
committed,坚定的
simon,西蒙
drew,dr
offensive,进攻
sequence,序列
worth,值得
rejected,拒绝了
mathematics,数学
collaboration,合作
defensive,防守
accident,事故
path,小路
door,门
golf,高尔夫球
hollywood,好莱坞
otherwise,除此以外
arab,阿拉伯
diocese,教区
fast,快速地
distinct,清楚的
headed,head
senator,参议员
extra,额外的
contrast,对比
wounded,伤员
represents,代表
eyes,eyes
ep,EP.
insurance,保险
measures,措施
hamilton,汉密尔顿
economics,经济学
nor,也不
biggest,最大
extremely,极其
credited,记入
priest,牧师
purposes,用途
classification,分类
jean,jean
creative,有创造力的
samuel,塞缪尔
bird,鸟
stood,st
minute,分钟
responsibility,责任
starred,主演
ali,阿里
replace,代替
czech,捷克语
flowers,花卉
legislation,立法
duties,职责
mean,意思
charged,带电
iowa,爱荷华州
company's,公司
retained,保留
damaged,损坏的
ownership,所有权
showing,显示
dog,狗
artistic,艺术的
trip,旅行
flat,平坦的
louisiana,路易斯安那州
caught,抓住
require,要求
whilst,同时
quebec,魁北克
tries,尝试
afterwards,然后
painter,画家
determine,决定
popularity,人气
israeli,以色列
delivered,发表
turns,轮流
jesus,耶稣
ages,岁
learned,学到了
restaurant,餐厅
colony,殖民地
danish,丹麦语
accompanied,陪同
assumed,假定
ray,射线
qualifying,资格赛
protected,保护
subjects,主题
roughly,大致
measure,措施
frederick,弗雷德里克
step,步
detroit,底特律
difference,区别
severe,严重
equivalent,相等的
object,目的
saturday,周六
admitted,录取
marketing,营销
translated,翻译
puerto,波多黎各
restored,恢复
circle,圆圈
differences,差异
competitions,比赛
policies,政策
philip,菲利普
kings,国王
significantly,显着地
arrival,到达
leg,腿
peninsula,半岛
sell,卖
relief,宽慰
comics,漫画
brain,脑
heads,头
wave,海浪
ukrainian,乌克兰
experienced,有经验的
returns,回报
respect,尊重
broad,广阔
dating,约会
adapted,改编
strategy,战略
aviation,航空
aspects,方面
separated,分开
novels,小说
oklahoma,俄克拉荷马州
juan,胡安
resolution,解析度
devices,设备
argentina,阿根廷
beautiful,美丽的
translation,翻译
actors,演员
waters,水域
baby,婴儿
twenty,二十
losses,亏损
missing,丢失的
relative,相对的
testing,测试
alabama,阿拉巴马州
occupation,职业
lawyer,律师
mississippi,密西西比人
carrying,携带
storage,贮存
father's,父亲
vision,想象
coalition,联盟
instruments,仪器
anthony,安东尼
physics,物理
pattern,图案
soul,灵魂
fighter,战斗机
king's,国王
window,窗户
allied,盟国
christ,基督
magic,魔法
blues,布鲁斯
fired,发射
princess,公主
requirements,要求
depending,取决于
practices,实践
suggests,建议
everything,一切
acid,酸
wings,翅膀
douglas,道格拉斯
meters,米
stopped,停了下来
defeating,击败
journey,旅行
infrastructure,基础设施
involving,涉及
iraq,伊拉克
ridge,岭
guide,指导
anderson,安德森
fishing,钓鱼
schedule,日程
technique,技术
solution,解决方案
partners,伙伴
questions,问题
collections,收藏品
concerns,担心
map,地图
rates,税率
visitors,游客
feel,感觉
inner,内
belgium,比利时
markets,市场
gender,性别
charter,宪章
debate,辩论
moon,月亮
gardens,花园
antonio,安东尼奥
steam,蒸汽
gulf,海湾
formally,正式
mrs,太太
indigenous,土着
dublin,都柏林
grey,灰色的
childhood,童年
opinion,观点
mental,精神的
ottoman,奥斯曼
socialist,社会主义者
context,语境
terminal,终端
guitarist,吉他手
authors,作者
honours,荣誉
watch,手表
swimming,游泳
adam,亚当
harvard,哈佛
prepared,准备好
brick,砖
allen,艾伦
definition,定义
soil,土壤
criticized,批评
components,成分
continuing,继续
parallel,平行线
flows,流动
replacement,替代品
forests,森林
stayed,留下来
classified,分类
da,达
clark,克鲁克
successor,接班人
bear,熊
pool,水池
frame,框架
coverage,覆盖范围
covering,覆盖
industries,行业
gordon,戈登
tank,坦克
miami,迈阿密
lincoln,林肯
papers,文件
i'm,我是
temporary,暂时的
wine,葡萄酒
characteristics,特征
tell,告诉
honorary,名誉
shore,支撑
arranged,安排
brazilian,巴西人
grow,生长
satellite,卫星
monument,纪念碑
legislature,立法机关
sisters,姐妹
tamil,泰米尔
none,没有任何
finding,发现
corporate,公司的
denmark,丹麦
der,der
ensure,确保
networks,网络
gay,同性恋者
threat,威胁
requires,需要
anne,安妮
capable,有能力的
linked,联系
offering,提供
cavalry,骑兵
expression,表达
boundary,边界
message,信息
connecticut,康涅狄格州
tests,测试
occasionally,偶尔
appearing,出现
max,最大限度
parks,公园
commissioner,专员
revival,复兴
script,脚本
montreal,蒙特利尔
eleven,十一
tokyo,东京
dream,梦
whereas,然而
reputation,名声
rescue,救援
orthodox,正统
instance,实例
patrick,帕特里克
sky,天空
alan,艾伦
constant,持续的
restoration,恢复
operational,操作
critic,评论家
wooden,木制的
limit,限制
gone,去了
hosts,主持人
influential,有影响
voivodeship,voivodeShip.
salt,盐
ago,前
couples,夫妻
branches,分支机构
thing,事物
cable,电缆
laboratory,实验室
metro,地铁
ukraine,乌克兰
considerable,大量
edinburgh,爱丁堡
somewhat,有些
employment,就业
entering,进入
element,元素
cinema,电影
raise,增加
adding,添加
user,用户
solar,太阳的
accounts,账户
eighth,第八
poem,诗
vs,vs.
listing,清单
strategic,战略
origins,起源
medals,奖牌
atlanta,亚特兰大
increasingly,日益
depression,沮丧
prisoners,囚犯
visiting,访问
celebrated,著名
narrow,狭窄的
proper,恰当的
adults,成年人
processes,流程
huge,巨大的
centers,中心
threatened,威胁
victims,受害者
decline,衰退
revolutionary,革命
austrian,奥地利
meets,见面
coaching,教练
cleveland,克利夫兰
rapid,迅速的
initiative,倡议
trading,贸易
walk,走
planet,行星
amongst,其中
annually,每年
peaked,达到顶峰
architectural,建筑
dan,担
franchise,特许经营
forming,成型
newspapers,报纸
rice,白饭
ambassador,大使
ryan,瑞安
jobs,工作
welsh,威尔士语
achieve,达到
rising,升起
portugal,葡萄牙
charity,慈善机构
declined,拒绝
tunnel,隧道
en,EN.
concrete,具体的
filled,填充
kevin,凯文
domain,领域
eric,埃里克
cards,牌
vienna,维也纳
surgery,外科手术
participation,参加
territories,领土
camera,相机
strongly,强烈
credits,学分
proposal,提议
benefit,益处
fixed,固定的
appointment,预约
plane,飞机
universe,宇宙
consider,考虑
themes,主题
competing,竞争
legend,传奇
anna,安娜
maintenance,维护
replacing,更换
audio,声音的
lawrence,劳伦斯
tied,捆绑
tall,高
moore,摩尔
learn,学习
anything,任何事物
surviving,幸存
helping,帮助
bringing,带来
neither,两者都不
liverpool,利物浦
honors,荣誉
versus,相对
filmed,拍摄
cited,引用
basin,盆地
modified,修改的
hair,头发
frequency,频率
surrounded,包围
vessels,船只
involvement,参与
mouth,嘴
explained,解释
constitutional,宪法
speak,说话
changing,改变
tribe,部落
landscape,风景
completion,完成
dated,约会
gate,门
mode,模式
malaysia,马来西亚
abbey,修道院
lists,清单
grown,长大的
movies,电影
conduct,执行
uncle,叔叔
existed,存在
safe,安全的
tools,工具
springs,泉水
suicide,自杀
graduating,毕业
baltimore,巴尔的摩
hundreds,数百
seattle,西雅图
movements,运动
struck,str
truth,真相
arm,手臂
doubles,双打
vocal,voc
masters,硕士学位
cm,厘米
roger,罗杰
josé,乔西
advertising,广告
easy,简单
electrical,电气
colleges,大学
experimental,实验
fan,扇子
honour,荣誉
skin,皮肤
mounted,登上
margaret,玛格丽特
monastery,修道院
happened,发生了
signing,签署
drawing,画画
missions,任务
integrated,融合的
studying,学习
ranking,排行
summit,首脑
manner,方式
speaker,扬声器
lakes,湖泊
li,李
las,拉斯
hungarian,匈牙利
occasions,偶发
walker,沃克
talent,天赋
edited,编辑
filed,提起
designer,设计师
experiences,经历
gmina,GMINA
representation,表示
apparently,显然
rounds,回合
massive,大量的
horses,马匹
indonesia,印度尼西亚
indicated,表明的
pittsburgh,匹兹堡
poems,诗歌
nomination,提名
tourism,旅游
illegal,非法的
meetings,会晤
bush,衬套
makeup,化妆品
elevation,海拔
team's,队
progressive,进步
secure,安全的
controversial,有争议的
lasted,持久
kent,肯特
stream,溪流
mp,MP.
dave,戴夫
revenue,收入
spiritual,精神
clinical,临床
superior,优越的
output,输出
dna,脱氧核糖核酸
hungary,匈牙利
minimum,最低限度
rio,里约热内卢
kim,金
moment,片刻
eliminated,淘汰
styles,风格
touring,巡回赛
solid,坚硬的
bears,熊
touchdown,接地
principles,原则
speaking,请讲
scholarship,奖学金
net,网
medium,中等的
concerts,音乐会
denied,否认
column,柱子
thousand,千
colour,颜色
equipped,装备
effectively,有效地
shell,贝壳
carl,嘉
normally,一般
extreme,极端
producers,生产者
turning,转身
index,指数
rival,竞争对手
bond,键
feed,喂养
unusual,异常
hence,因此
alex,亚历克斯
supporters,支持者
harris,哈里斯
baron,男爵
jordan,约旦
license,执照
option,选项
alleged,所谓的
broadway,百老汇
similarly,相似地
perfect,完美的
adaptation,适应
penalty,惩罚
bruce,布鲁斯
slow,减缓
desert,沙漠
dallas,达拉斯
voting,表决
attracted,吸引了
kennedy,肯尼迪
visible,可见的
ross,罗斯
vessel,血管
borders,边界
singh,辛格
portrayed,刻画
knew,kn
sarah,莎拉
transit,过境
fly,飞
approval,赞同
phone,电话
club's,俱乐部
accept,接受
shares,分享
abc,ABC
videos,视频
romania,罗马尼亚
resident,居民
outer,外
fruit,水果
executed,执行
widespread,广泛
arkansas,阿肯色州
morgan,摩根
rapidly,迅速
roots,根
birmingham,伯明翰
siege,围城
arrest,逮捕
participants,参与者
finland,芬兰
sugar,糖
gradually,逐步地
concern,忧虑
concerned,担心的
nba,NBA.
merchant,商人
traditionally,传统上
scholar,学者
greatly,大大
panel,控制板
agencies,代理机构
happy,快乐的
competitive,竞争的
document,文档
thereafter,此后
jane,简
acted,采取行动
weekend,周末
departure,离开
blocks,块
depth,深度
recommended,受到推崇的
nazi,纳粹
kelly,凯莉
favor,赢
austin,奥斯汀
compilation,汇编
tim,蒂姆
benefits,好处
processing,加工
engineers,工程师
assault,突击
commerce,商业
fictional,虚构
innings,局
battery,电池
traveled,旅行
pick,挑选
sessions,会话
wildlife,野生动物
knight,骑士
file,文件
matt,镭
railways,铁路
franklin,富兰克林
passage,通道
populations,人口
exception,例外
hero,英雄
researchers,研究人员
treated,对待
beauty,美丽
agents,代理人
begun,开始了
jimmy,吉米
printed,打印
bachelor,学士
fear,害怕
spoken,说
transition,过渡
victorian,维多利亚时代
governments,政府
twin,双胞胎
mills,米尔斯
billy,b
snow,雪
donated,捐赠
describe,描述
russell,罗素
provinces,省份
evolution,进化
diameter,直径
exists,存在
relationships,关系
cousin,表哥
wedding,婚礼
carbon,碳
nevertheless,尽管如此
injuries,伤害
chemistry,化学
supplies,补给品
everyone,每个人
transmission,传播
historically,历史上
opportunities,机会
venue,地点
encouraged,鼓励
abroad,国外
ratio,比率
contribution,贡献
channels,渠道
continental,大陆
drugs,毒品
indians,印度人
scientists,科学家们
instrumental,乐器
country's,国家
print,打印
friendly,友好的
releases,发布
ready,准备好
achievement,成就
intersection,路口
boats,船
genre,类型
significance,意义
christopher,克里斯托弗
remainder,余
